"Sr No
(link to coverage)",Test Written,Coverpoint Written,,Goal,Feature Description,Expectation,Bins,"Pass/Fail Criteria
(checker)",Functional Coverage ,Normative Rules,Notes,Spec,,,,
cp_custom_vshift_upperbits_rs1_ones,,,fix all rs1 top bits should be 1s,Confrim that only the bottom lg2(sew) bits are used to control the shift amount in shift instructions ,"run all supported SEW with the top [xlen-1:log2(sew)] bits of rs1 as all ones

We make all these bits one to confrim that none of them are used by the instruction",doesnt completely shift out value,4 sew bins,,,,,Shift instructions:  Only the low lg2(SEW) bits of the shift-amount value are used to control the shift amount,,,,
cp_imm,,Immediate version of tests above are covered by standard generated tests,,,,,,,,,,,,,,
"vshift narrowing operations, vnclip instructions",,,,,,,,,,,,,,,,
cp_custom_vshiftn_upperbits_vs1_ones,,,v,Confrim that only the bottom lg2(2*sew) bits are used to control the shift amount in shift instructions ,"run all supported SEW with the top [sew-1:log2(2*sew)] bits of element 0 of vs1 as all ones

We make all these bits one to confrim that none of them are used by the instruction",doesnt completely shift out value,3 sew bins,,,,,"Shift narrowing instructions:  The low lg2(2*SEW) bits of the shift-amount value are used (e.g., the low 6 bits for a SEW=64-bit to SEW=32-bit narrowing operation).",,,,
cp_custom_vshiftn_upperbits_rs1_ones,,,fix all rs1 top bits should be 1s,Confrim that only the bottom lg2(2*sew) bits are used to control the shift amount in shift instructions ,"run all supported SEW with the top [xlen-1:log2(2*sew)] bits of rs1 as all ones

We make all these bits one to confrim that none of them are used by the instruction",doesnt completely shift out value,3 sew bins,,,,,"Shift narrowing instructions:  The low lg2(2*SEW) bits of the shift-amount value are used (e.g., the low 6 bits for a SEW=64-bit to SEW=32-bit narrowing operation).",,,,
cp_imm,,Immediate version of tests above are covered by standard generated tests,,,,,,,,,,,,,,
Fixed point instructions,,,,,,,,,,,,,,,,
cp_vs2_vs1_corners,,Should be covered by standard testing suite,,Confrim when saturating add and subtract overflows the destination that its set to the closest representable value and the vxsat bit is set,,,,,,,,"Saturating forms of integer add and subtract are provided, for both signed and unsigned integers. If the result would overflow the destination, the result is replaced with the closest representable value, and the vxsat bit is set."," For vaaddu and vaadd there can be no overflow in the result. For vasub and vasubu, overflow is ignored and the result wraps around.","The signed fractional multiply instruction produces a 2*SEW product of the two SEW inputs, then shifts the result right by SEW-1 bits, rounding these bits according to vxrm, then saturates the result to fit into SEW bits. If the result causes saturation, the vxsat bit is set.","For vnclipu, the shifted rounded source value is treated as an unsigned integer and saturates if the result would overflow the destination viewed as an unsigned integer.","For vnclip, the shifted rounded source value is treated as a signed integer and saturates if the result would overflow the destination viewed as a signed integer."
cp_vs2_vs1_corners,,Should be covered by standard testing suite,,Confrim that when a possitive and negative number are added together and produce a negative result that this doesnt set the vxsat bit since it is not an overflow,,,,,,,,"Saturating forms of integer add and subtract are provided, for both signed and unsigned integers. If the result would overflow the destination, the result is replaced with the closest representable value, and the vxsat bit is set."," For vaaddu and vaadd there can be no overflow in the result. For vasub and vasubu, overflow is ignored and the result wraps around.","The signed fractional multiply instruction produces a 2*SEW product of the two SEW inputs, then shifts the result right by SEW-1 bits, rounding these bits according to vxrm, then saturates the result to fit into SEW bits. If the result causes saturation, the vxsat bit is set.","For vnclipu, the shifted rounded source value is treated as an unsigned integer and saturates if the result would overflow the destination viewed as an unsigned integer.","For vnclip, the shifted rounded source value is treated as a signed integer and saturates if the result would overflow the destination viewed as a signed integer."
,Should verify that sail executes this instruction correctly,Covered by standard testing suite,,"When multiplying two N-bit signed numbers, the largest magnitude is obtained for -2N-1 * -2N-1 producing a result +22N-2, which has a single (zero) sign bit when held in 2N bits. All other products have two sign bits in 2N bits. To retain greater precision in N result bits, the product is shifted right by one bit less than N, saturating the largest magnitude result but increasing result precision by one bit for all other products.",,,,,,,,,,,,
vfirst,,,,,,,,,,,,,,,,
cp_vs2_vm_corners,,Should be covered by standard testing but coverpoint is left in case,,,"The vfirst instruction finds the lowest-numbered active element of the source mask vector that has the value 1 and writes that element’s index to a GPR. If no active element has the value 1, -1 is written to the GPR.",,,,,,,,,,,
Mask arithmetic insturcitons,,,,,,,,,,,,,,,,
cp_vs2_vs1_mask_corners,,Should already be tested,,,any element in the tail of a mask result can also be written with the value the mask-producing operation would have calculated with vl=VLMAX.,,,,,,,,,,,
Gpr reading and wiritng instructions,,,,,,,,,,,,,,,,
cr_vs2_vs1_corners / cr_vs2_rs1_corners,,Covered by standard extension running every instruction with rs1=-1,,,What to do when XLEN doesnt match EEW for a gpr writing/reading instruction,,,,,,,,,,,
cr_vs2_vs1_corners / cr_vs2_rs1_corners,,Covered by standard extension running every instruction with rs1=-1,,,"If XLEN < SEW, the value is sign-extended to SEW bits. If XLEN > SEW, the least-significant bits are copied over and the high XLEN-SEW bits are ignored.",,,,,,,,,,,
All arithmetic instructions,,,,,,,,,,,,,,,,
,,Covered by privileged plane,,"Test that all instructions obey not updating the vd register when vstart ≥ vl, including the fact that the instruction could be treated as tail agnostic.","Run a vector arithmatic instruction with lmul = 1, vd != vs2 != vs1, set vstart and vl to zero. Set ta = {0/1}

lmul=1 and vector registers not being the same simplifies the testing process without loss of generality, and vstart and vl equal to zero gives the whole register the agnostic property so that can be easily tested.",vd is not updated by these instructions,2 bins for ta,,,,,"When vstart ≥ vl, there are no body elements, and no elements are updated in any destination vector register group, including that no tail elements are updated with agnostic values.",,,,
