"Sr No
(link to coverage)",Feature,Goal,Feature Description,Expectation,Bins,"Pass/Fail Criteria
(checker)",Functional Coverage ,Feature covered,Notes,Spec,,Normative Rules
cp_ssstrictv_vzext_vf2_reserved,,Confirm vzext.vf2 traps when source EEW < 8 or source EMUL < 1/8,"Run vzext.vf2 with SEW=8 (source EEW=4, unsupported). Also run with LMUL=mf8 (source EMUL=1/16, below minimum)",trap,1 sew bin + 1 lmul bin,,,,,,,RESERVED_VILL_SET; V_supported_eew; vtype-lmul_fval; vzext_ill_eew_emul_rsv; vzext_vs_eew_emul
cp_ssstrictv_vzext_vf4_reserved,,Confirm vzext.vf4 traps when source EEW < 8 or source EMUL < 1/8,Run vzext.vf4 with SEW=8 (EEW=2) or SEW=16 (EEW=4). Also run with LMUL=mf8 (EMUL=1/32) or LMUL=mf4 (EMUL=1/16),trap,2 sew bins + 2 lmul bins,,,,,,,EMUL_rsv; RESERVED_VILL_SET; Zve_eew; vzext_ill_eew_emul_rsv; vzext_vs_eew_emul
cp_ssstrictv_vzext_vf8_reserved,,Confirm vzext.vf8 traps when source EEW < 8 or source EMUL < 1/8,Run vzext.vf8 with SEW=8 (EEW=1) or SEW=16 (EEW=2) or SEW=32 (EEW=4). Also run with LMUL=mf8 (EMUL=1/64) or LMUL=mf4 (EMUL=1/32) or LMUL=mf2 (EMUL=1/16),trap,3 sew bins + 3 lmul bins,,,,,,,EMUL_rsv; RESERVED_VILL_SET; epc_op_V_trap; vtype-vill_op; vzext_ill_eew_emul_rsv; vzext_vs_eew_emul
cp_ssstrictv_vcompress_vm0_reserved,,Confirm vcompress traps when vm=0,Run a vcompress instruction with vm=0 (masked encoding),trap,1 funct6 x funct3 x vm=0,,,,,,,vcompress_enc; vcompress_masked_rsv
cp_ssstrictv_vsext_src_reserved,,Confirm vsext.vfN instructions trap when source EEW or source EMUL is out of range,"Run vsext.vf2/vf4/vf8 with SEW values where source EEW = SEW/N < 8, or with fractional LMUL values where source EMUL = LMUL/N < 1/8",trap,"6 crosses: 3 variants x 2 conditions (bad EEW, bad EMUL)",,,,,The source EEW is smaller than SEW and the source EMUL is correspondingly smaller than LMUL. If the source EEW is not a supported SEW or the source EMUL would be below the minimum legal LMUL the instruction encoding is reserved.,,RESERVED_VILL_SET; V_supported_eew; vsext_ill_eew_emul_rsv; vsext_vs_eew_emul
cp_ssstrictv_ext_emul_lt1_overlap,,Confirm vzext/vsext instructions trap when source EMUL < 1 and vs2 overlaps vd group,"Run vzext/vsext.vf2 with LMUL=1, vf4 with LMUL={1,2}, vf8 with LMUL={1,2,4} where source EMUL < 1 and vs2 overlaps the destination register group",trap,"6 crosses: vf2 at LMUL=1, vf4 at LMUL={1,2}, vf8 at LMUL={1,2,4} each with overlap",,,,,,,EMUL; EMUL_SEW_LMUL_dep; vreg_overlap_rsv; vsext_ill_eew_emul_rsv; vsext_op; vsext_vs_eew_emul; vzext_ill_eew_emul_rsv; vzext_op; vzext_vs_eew_emul
cp_ssstrictv_widen_max_sew,,Confirm all widening instructions trap when SEW equals ELEN so destination EEW = 2*SEW exceeds ELEN,"Run a widening instruction with SEW = {all supported} and LMUL = {1, 2, 4}; the instruction should trap only when SEW = MAX_SEW (destination EEW = 2*SEW > ELEN), including widening reductions",trap,all supported SEW x 3 LMUL bins,,,,,The destination EEW must be a supported element width. For widening operations destination EEW = 2*SEW; when SEW = ELEN this exceeds the maximum supported element width and the instruction encoding is reserved.,,ELEN; V_fp_EEW_IEEE_nsupported_rsv; V_supported_eew; epc_op_V_trap; vfwredosum_op; vfwredusum_op; vstart_op_V_trap; vwop_vd_eew_emul; vwredsum_op; vwredsumu_op
cp_ssstrictv_vsetvli_x0_x0_reserved,,Confirm vsetvl{i} with rs1=x0 rd=x0 traps when VLMAX would change or vill was set,"Run vsetvli with rs1=x0 and rd=x0 when (1) vill=1 beforehand, or (2) new SEW/LMUL would change VLMAX",trap,"3 crosses: vill=1 case, new SEW differs case, new LMUL differs case",,,,"When rs1=x0 and rd=x0, the instruction operates as if the current vector length in vl is used as the AVL, and the resulting value is written to vl, but not to a destination register. This form can only be used when VLMAX and hence vl is not actually changed by the new SEW/LMUL ratio. Use of the instruction with a new SEW/LMUL ratio that would result in a change of VLMAX is reserved. Use of the instruction is also reserved if vill was 1 beforehand. Implementations may set vill in either case.",,,VLMAX; vset_op; vsetvl_op; vtype-vill_op; vtype_vset_rsv
cp_ssstrictv_vsetvl_x0_x0_reserved,,Confirm vsetvl with rs1=x0 rd=x0 traps when VLMAX would change or vill was set,"Run vsetvl with rs1=x0 and rd=x0 when (1) vill=1 beforehand, or (2) new SEW/LMUL in rs2 would change VLMAX",trap,"3 crosses: vill=1 case, new SEW differs case, new LMUL differs case",,,,"When rs1=x0 and rd=x0, the instruction operates as if the current vector length in vl is used as the AVL, and the resulting value is written to vl, but not to a destination register. This form can only be used when VLMAX and hence vl is not actually changed by the new SEW/LMUL ratio. Use of the instruction with a new SEW/LMUL ratio that would result in a change of VLMAX is reserved. Use of the instruction is also reserved if vill was 1 beforehand.",,,vsetvl_op; vtype-vill_op; vtype_vset_rsv
cp_ssstrictv_ls_seg_vd_overflow_emulgt1,,Confirm segment load/store traps when register groups increment past v31 with LMUL > 1,"Run a segment load/store with LMUL={2,4} and NFIELDS/vd combinations where vd + NFIELDS * LMUL > 32 (e.g., LMUL=2 NFIELDS=2 vd=30, LMUL=4 NFIELDS=2 vd=28)",trap,"7 (lmul, nf, vd) overflow bins",,,,,"If the vector register numbers accessed by the segment load or store would increment past 31, then the instruction encoding is reserved.",,EMUL; LMUL; NFIELDS; vector_ls_seg_rsv; vreg_count
cp_ssstrictv_vlmul_100_reserved,,Confirm vsetvli/vsetivli with reserved vlmul=100 encoding sets vill,Run vsetvli or vsetivli requesting vlmul=3'b100 (reserved encoding) and verify vill is set to 1 afterward,"vlmul = {100}: The use of vtype encodings with LMUL < SEWMIN/ELEN is reserved, but implementations can set vill if they do not support these configurations.",1 cross: vlmul_100_requested × vill_set_after,,,,,,,LMUL; RESERVED_VILL_SET; vset_op; vtype-lmul_fval_rsv; vtype-vill_set
cp_ssstrictv_ls_idx_emul_gt8,,Confirm indexed load/store traps when index EMUL > 8,Run an indexed load/store with SEW/LMUL/index-EEW combinations where (index_EEW / SEW) * LMUL > 8,trap,"10 (vlmul, vsew, width) reserved tuples",,,,,"If the EMUL would be out of range (EMUL>8 or EMUL<1/8), the instruction encoding is reserved.",,EEW_SEW_LMUL_dep; EMUL_SEW_LMUL_dep; EMUL_rsv; vector_ls_EMUL; vector_ls_EMUL_rsv; vector_ls_indexed_EMUL; vector_ls_indexed_op
cp_ssstrictv_ls_idx_emul_lt_f8,,Confirm indexed load/store traps when index EMUL < 1/8,Run an indexed load/store with SEW/LMUL/index-EEW combinations where (index_EEW / SEW) * LMUL < 1/8,trap,"12 (vlmul, vsew, width) reserved tuples (ifdef-guarded for fractional LMUL and SEW support)",,,,,"If the EMUL would be out of range (EMUL>8 or EMUL<1/8), the instruction encoding is reserved.",,EEW_SEW_LMUL_dep; EMUL_SEW_LMUL_dep; EMUL_rsv; vector_ls_EMUL; vector_ls_EMUL_rsv; vector_ls_indexed_EMUL; vector_ls_indexed_op
cp_vtype_walking1s,yes,,Confirm all XLEN bits of rs2 are checked when running vsetvl instruction,"Set rs1 nonzero, rs2 = (one hot [all XLEN versions]) and run vsetvl rd, rs1, rs2

Running 1 hot confrims that every single bit is checked in rs2 when running vsetvl for reserved configurations

","vtype.vill becomes 1 when there is a 1 in XLEN:8, otherwise it depends on which configuartions are supported",XLEN 1 hot bins,,,,,,RESERVED_VILL_SET; vsetvl_op; vtype-vill_set; vtype-vill_sz; vtype-vlmul_sz; vtype-vma_sz; vtype-vsew_rsv; vtype-vsew_sz; vtype-vta_sz; vtype_acc; vtype_sz
"vmsof.m, vmsif.m, vmsbf.m, viota",,,,,,,,,,,,
cp_exceptionsv_vd_vs2_overlap,,Confrim that vd vs2 overlap is reserved,"Run instruction with vd = {v8} = vs2

We run with v8 because this ensures its a legal register for all lmuls and does not overlap with v0 incase mask is active",reserved,1,,,,,"vmsof.m, vmsif.m, vmsbf.m: The destination register cannot overlap the source register and, if masked, cannot overlap the mask register ('v0').",Any instruction encoding that violates the overlap constraints is reserved.,vmsbf_vreg_constr; vmsif_vreg_constr; vmsof_vreg_constr; vreg_overlap_rsv
cp_exceptionsv_vd_vs1_overlap,,Confrim that vd vs1 overlap is reserved,"Run instruction with vd = {v8} = vs1

We run with v8 because this ensures its a legal register for all lmuls and does not overlap with v0 incase mask is active",reserved,1,,,,,"vmsof.m, vmsif.m, vmsbf.m: The destination register cannot overlap the source register and, if masked, cannot overlap the mask register ('v0').",Any instruction encoding that violates the overlap constraints is reserved.,vmsbf_vreg_constr; vmsif_vreg_constr; vmsof_vreg_constr; vreg_overlap_rsv
cp_exceptionsv_vd_v0_overlap_mask_active,,Confrim that vd v0 overlap is reserved when the mask is active,Run instruction with vd = {v0} and mask active vm={0},reserved,1,,,,,"vmsof.m, vmsif.m, vmsbf.m: The destination register cannot overlap the source register and, if masked, cannot overlap the mask register ('v0').",Any instruction encoding that violates the overlap constraints is reserved.,vmsbf_vreg_constr; vmsif_vreg_constr; vmsof_vreg_constr; vreg_overlap_rsv; vreg_vmask_rsv
cp_ssstrictv_vstart_ge_vlmax,,Confirm vstart >= VLMAX traps on any vector instruction with valid vtype,"Set vtype to a valid configuration (vill=0) and set vstart >= VLMAX, then execute a vector instruction",trap,1 cross bin (vstart >= VLMAX & vill=0 & trap),,,,,,,vstart_val_rsv; vstart_vtype_dep
